"tagname","longitude","latitude","DateTime","Count"
"A69-9007-6142",-80.78791,28.62577,2022-12-17,25
"A69-9007-6142",-80.78791,28.62577,2022-12-18,3
"A69-9007-6142",-80.78791,28.62577,2022-12-19,19
"A69-9007-6142",-80.78791,28.62577,2022-12-20,61
"A69-9007-6142",-80.78791,28.62577,2022-12-21,70
"A69-9007-6142",-80.78791,28.62577,2022-12-22,102
"A69-9007-6142",-80.78791,28.62577,2022-12-23,32
"A69-9007-6142",-80.78791,28.62577,2022-12-24,42
"A69-9007-6142",-80.78791,28.62577,2022-12-25,39
"A69-9007-6142",-80.78791,28.62577,2022-12-26,38
"A69-9007-6142",-80.78791,28.62577,2022-12-27,59
"A69-9007-6142",-80.78791,28.62577,2022-12-28,27
"A69-9007-6142",-80.78791,28.62577,2022-12-29,12
"A69-9007-6142",-80.78791,28.62577,2022-12-30,115
"A69-9007-6142",-80.78791,28.62577,2022-12-31,73
"A69-9007-6142",-80.78791,28.62577,2023-01-01,6
"A69-9007-6142",-80.78791,28.62577,2023-01-02,42
"A69-9007-6142",-80.78791,28.62577,2023-01-03,45
"A69-9007-6142",-80.78791,28.62577,2023-01-05,23
"A69-9007-6142",-80.78791,28.62577,2023-01-06,62
"A69-9007-6142",-80.78791,28.62577,2023-01-07,3
"A69-9007-6142",-80.78791,28.62577,2023-01-08,8
"A69-9007-6142",-80.78791,28.62577,2023-01-09,10
"A69-9007-6142",-80.78791,28.62577,2023-01-10,54
"A69-9007-6142",-80.78791,28.62577,2023-01-11,15
"A69-9007-6142",-80.78791,28.62577,2023-01-12,101
"A69-9007-6142",-80.78791,28.62577,2023-01-13,1
"A69-9007-6142",-80.78791,28.62577,2023-01-14,11
"A69-9007-6142",-80.78791,28.62577,2023-01-15,63
"A69-9007-6142",-80.78791,28.62577,2023-01-16,95
"A69-9007-6142",-80.78791,28.62577,2023-01-17,41
"A69-9007-6142",-80.78791,28.62577,2023-01-18,45
"A69-9007-6142",-80.78791,28.62577,2023-01-19,11
"A69-9007-6142",-80.78791,28.62577,2023-01-20,15
"A69-9007-6142",-80.78791,28.62577,2023-01-21,132
"A69-9007-6142",-80.78791,28.62577,2023-01-22,29
"A69-9007-6142",-80.78791,28.62577,2023-01-23,122
"A69-9007-6142",-80.78791,28.62577,2023-01-24,55
"A69-9007-6142",-80.78791,28.62577,2023-01-25,14
"A69-9007-6142",-80.78791,28.62577,2023-01-26,45
"A69-9007-6142",-80.78791,28.62577,2023-02-07,2
"A69-9007-6142",-80.78791,28.62577,2023-02-09,5
"A69-9007-6142",-80.78791,28.62577,2023-02-10,48
"A69-9007-6142",-80.78791,28.62577,2023-02-11,23
"A69-9007-6142",-80.78791,28.62577,2023-02-12,70
"A69-9007-6142",-80.78791,28.62577,2023-02-13,253
"A69-9007-6142",-80.78791,28.62577,2023-02-14,199
"A69-9007-6142",-80.78791,28.62577,2023-02-15,212
"A69-9007-6142",-80.78791,28.62577,2023-02-16,143
"A69-9007-6142",-80.78791,28.62577,2023-02-17,27
"A69-9007-6142",-80.78791,28.62577,2023-02-18,10
"A69-9007-6142",-80.78791,28.62577,2023-02-19,23
"A69-9007-6142",-80.78791,28.62577,2023-02-20,61
"A69-9007-6142",-80.78791,28.62577,2023-02-21,22
"A69-9007-6142",-80.78791,28.62577,2023-02-22,67
"A69-9007-6142",-80.78791,28.62577,2023-02-23,3
"A69-9007-6142",-80.78791,28.62577,2023-02-24,7
"A69-9007-6142",-80.78791,28.62577,2023-03-04,45
"A69-9007-6142",-80.78791,28.62577,2023-03-05,102
"A69-9007-6142",-80.78791,28.62577,2023-03-06,157
"A69-9007-6142",-80.78791,28.62577,2023-03-07,197
"A69-9007-6142",-80.78791,28.62577,2023-03-08,219
"A69-9007-6142",-80.78791,28.62577,2023-03-09,254
"A69-9007-6142",-80.78791,28.62577,2023-03-10,64
"A69-9007-6142",-80.78791,28.62577,2023-03-11,88
"A69-9007-6142",-80.78791,28.62577,2023-03-12,26
"A69-9007-6142",-80.78791,28.62577,2023-03-13,64
"A69-9007-6142",-80.78791,28.62577,2023-03-14,131
"A69-9007-6142",-80.78791,28.62577,2023-03-15,108
"A69-9007-6142",-80.78791,28.62577,2023-03-16,61
"A69-9007-6142",-80.78791,28.62577,2023-03-18,19
"A69-9007-6142",-80.78791,28.62577,2023-03-19,70
"A69-9007-6142",-80.78791,28.62577,2023-03-20,85
"A69-9007-6142",-80.78791,28.62577,2023-03-21,55
"A69-9007-6142",-80.78791,28.62577,2023-03-22,37
"A69-9007-6142",-80.78791,28.62577,2023-03-23,15
"A69-9007-6142",-80.78791,28.62577,2023-03-26,5
"A69-9007-6142",-80.78791,28.62577,2023-03-27,1
"A69-9007-6142",-80.78791,28.62577,2023-03-28,10
"A69-9007-6142",-80.78791,28.62577,2023-03-29,54
"A69-9007-6142",-80.78791,28.62577,2023-03-30,19
"A69-9007-6142",-80.78791,28.62577,2023-04-02,16
"A69-9007-6142",-80.78791,28.62577,2023-04-03,53
"A69-9007-6142",-80.78791,28.62577,2023-04-04,44
"A69-9007-6142",-80.78791,28.62577,2023-04-06,1
"A69-9007-6142",-80.78791,28.62577,2023-04-07,9
"A69-9007-6142",-80.78791,28.62577,2023-04-08,16
"A69-9007-6142",-80.78791,28.62577,2023-04-09,60
"A69-9007-6142",-80.78791,28.62577,2023-04-10,83
"A69-9007-6142",-80.78791,28.62577,2023-04-11,111
"A69-9007-6142",-80.78791,28.62577,2023-04-12,246
"A69-9007-6142",-80.78791,28.62577,2023-04-13,115
"A69-9007-6142",-80.78791,28.62577,2023-04-14,76
"A69-9007-6142",-80.78791,28.62577,2023-04-15,80
"A69-9007-6142",-80.78791,28.62577,2023-04-16,17
"A69-9007-6142",-80.78791,28.62577,2023-04-17,72
"A69-9007-6142",-80.78791,28.62577,2023-04-18,71
"A69-9007-6142",-80.78791,28.62577,2023-04-19,39
"A69-9007-6142",-80.78791,28.62577,2023-04-20,1
"A69-9007-6142",-80.78791,28.62577,2023-04-21,8
"A69-9007-6142",-80.78791,28.62577,2023-04-22,1
"A69-9007-6142",-80.78791,28.62577,2023-04-23,3
"A69-9007-6142",-80.78791,28.62577,2023-04-24,1
"A69-9007-6142",-80.78791,28.62577,2023-04-27,2
"A69-9007-6142",-80.78791,28.62577,2023-05-01,3
"A69-9007-6142",-80.78791,28.62577,2023-05-04,9
"A69-9007-6142",-80.78791,28.62577,2023-05-15,7
"A69-9007-6142",-80.78791,28.62577,2023-06-30,7
